query,old_total_ms,old_compile_ms,old_exec_ms,old_htbuild_ms,new_total_ms,new_compile_ms,new_exec_ms,new_htbuild_ms,diff_ms,speedup
3b,42.350,1801.000,25.000,7.000,70.120,1866.000,50.000,3.000,27.770,0.604
3c,115.880,260.000,93.000,10.000,76.010,234.000,65.000,13.000,-39.870,1.525
4a,105.120,2020.000,83.000,14.000,58.970,2034.000,47.000,1.000,-46.150,1.783
4b,34.990,3156.000,24.000,0.000,51.990,3368.000,41.000,0.000,17.000,0.673
4c,81.950,1947.000,62.000,26.000,102.890,1972.000,69.000,16.000,20.940,0.796
5a,1.980,175.000,0.000,0.000,2.800,146.000,0.000,0.000,0.820,0.707
5b,1.010,119.000,0.000,0.000,1.430,134.000,0.000,0.000,0.420,0.706
5c,49.890,1769.000,33.000,23.000,36.680,3211.000,15.000,2.000,-13.210,1.360
6a,41.660,2094.000,23.000,0.000,49.240,1974.000,30.000,0.000,7.580,0.846
6b,34.830,3258.000,22.000,0.000,41.760,3895.000,23.000,0.000,6.930,0.834
6c,35.930,1671.000,20.000,0.000,35.730,1872.000,21.000,0.000,-0.200,1.006
6d,92.840,562.000,58.000,17.000,73.370,522.000,52.000,6.000,-19.470,1.265
6e,46.720,402.000,26.000,0.000,49.950,385.000,30.000,0.000,3.230,0.935
6f,726.940,558.000,685.000,173.000,815.690,509.000,783.000,194.000,88.750,0.891
7a,225.240,620.000,178.000,2.000,203.300,621.000,178.000,7.000,-21.940,1.108
7b,58.640,680.000,31.000,7.000,70.120,608.000,42.000,21.000,11.480,0.836
7c,315.820,2209.000,262.000,30.000,346.800,2525.000,295.000,64.000,30.980,0.911
8a,69.840,2115.000,51.000,22.000,62.400,2276.000,24.000,7.000,-7.440,1.119
8b,8.500,5042.000,0.000,0.000,10.110,5450.000,3.000,0.000,1.610,0.841
8c,1403.630,573.000,1365.000,692.000,1302.310,2148.000,1255.000,550.000,-101.320,1.078
8d,424.010,3609.000,397.000,197.000,462.210,4597.000,412.000,192.000,38.200,0.917
9a,78.230,3886.000,30.000,10.000,67.580,4002.000,36.000,0.000,-10.650,1.158
9b,48.630,6163.000,22.000,6.000,62.490,7148.000,21.000,0.000,13.860,0.778
9c,239.550,2449.000,206.000,140.000,205.620,2486.000,158.000,78.000,-33.930,1.165
9d,509.300,2303.000,473.000,343.000,538.240,2402.000,491.000,288.000,28.940,0.946
